gene,location,confidence
ADPGK,Cytoskeleton,2.0
ADPRH,Nucleus,2.0
ADPRH,Nucleus,2.0
ADPRHL1,Nucleus,2.0
ADPRHL2,Nucleus,3.0
ADRA1B,Plasma membrane,2.0
ADRB2,Cytosol,0.0
ADRBK1,Vesicles,2.0
ADRBK2,Nucleus,2.0
ADRBK2,Plasma membrane,2.0
ADRM1,Nucleus,1.0
ADRM1,Cytosol,1.0
ADRM1,Plasma membrane,2.0
ADSL,Cytosol,3.0
ADSS,Cytosol,1.0
ADSS,Plasma membrane,2.0
ADTRP,Nucleolus,0.0
AEBP1,Nucleus,2.0
AEBP1,Vesicles,1.0
AEBP1,Cytosol,2.0
AEBP2,Nucleus,1.0
AEN,Nucleus,1.0
AEN,Nucleus,1.0
AEN,Nucleolus,1.0
AES,Nucleus,2.0
AFAP1,Cytoskeleton,1.0
AFAP1,Cytoskeleton,1.0
AFAP1,Cytosol,2.0
AFAP1L2,Cytosol,1.0
AFAP1L2,Plasma membrane,1.0
AFF1,Nucleus,2.0
AFF1,Mitochondria,2.0
AFF3,Nucleus,1.0
AFF3,Cytosol,2.0
AFF4,Nucleus,1.0
AFF4,Nucleolus,1.0
AFG3L2,Mitochondria,6.0
AFMID,Mitochondria,2.0
AFP,Cytosol,3.0
AFTPH,Golgi apparatus,1.0
AFTPH,Vesicles,1.0
AFTPH,Cytosol,1.0
AGAP2,Nucleus,1.0
AGAP2,Nucleolus,1.0
AGAP2,Mitochondria,2.0
AGBL3,Nucleus,0.0
AGBL3,Cytosol,0.0
AGBL3,Mitochondria,0.0
AGBL5,Cytosol,2.0
AGER,Nucleolus,2.0
AGER,Plasma membrane,2.0
AGER,Plasma membrane,2.0
AGFG1,Vesicles,1.0
AGK,Vesicles,2.0
AGK,Mitochondria,4.0
AGL,Nucleus,1.0
AGL,Cytosol,1.0
AGMO,Vesicles,0.0
AGO2,Nucleus,1.0
AGO2,Plasma membrane,2.0
AGO3,Nucleus,2.0
AGO3,Cytosol,1.0
AGO4,Nucleus,3.0
AGO4,Nucleus,1.0
AGO4,Cytosol,3.0
AGPAT1,Endoplasmic reticulum,4.0
